Taksim'de çıkan olaylarda Mısırlı genç kız yaralandı.	5	kız	n	bayan, kadın	
Kız istemeye giderken nelere dikkat etmeliyiz.	0	kız	n	gelin 	
Hacı'nın kız kardeşi bir çoraba yama vuruyordu.	1	kız	n	dişi 	
Polis amcası, kız şuna çok şımarıyor.	2	kız	v	sinirlen, öfkelen	
İstediğin kadar kız bağır, kimse yanlışı üzerine alınmayacak.	2	kız	v	sinirlen, öfkelen	
Rüyada ak sakallı dede görmek iyiye işarettir.	1	ak	a	beyaz	
Saça düşen ilk ak tel ölümü hatırlatır.	3	ak	a	beyaz	
Yüreğime akacaksan hadi durma ak.	4	ak	v	düş	
Ak günler göresiniz çocuklar.	0	ak	a	aydınlık	
Ak don kara don geçitte belli olur.	0	ak	a	beyaz	
Pencerenin önündeki koltukta oturup sokaktan geleni geçeni izlerken bir yandan da acı kahvesini yudumluyordu.	11	acı	a	şekersiz, tatsız	
Gemiler limandan ayrılırken acı poyraz kuvvetle esiyordu.	3	acı	a	güçlü, challenging??!??	
Kas krampları, ani başlayan ve kişiye oldukça fazla acı veren kas kasılmalardır.	8	acı	n	ağrı, ızdırap	
Seviyorsan acı bana yapma etme.	1	acı	v	merhametet (iki kelime?!)	
Ama bari sen ona acı biraz, azıcık umut ver.	4	acı	v	merhametet	
Hikmet Bey'in kurum ve edası, her zamankinden belki yüz kat üstündü.	8	yüz	a	on, bin 	10 != 100 ama bu kontekstte eş anlamlı diye böyle işaretledim
Her gün evinden işlemeli bir yüz havlusu, resimli hazır yelpaze gibi şeyler getiriyor, odamı süslüyordu.	5	yüz	n	surat	
Çocuklarım havuzda yunuslarla yüzdü, harikaydı.	3	yüz	v	eğlendi, oynadı, hareket etti	
Eğer denizde kramp girerse sakin olup, karaya doğru sırtüstü, kendini yormadan yüz.	11	yüz	v	kulaçla	
Yüz verdik astar istiyorsunuz!	0	yüz	n	hoşgörü	belki atasözü ve deyim karıştırmasak daha iyi
Al elmaya taş atan çok olur.	0	al	a	kırmızı	
Yanakların al al olmuş konyak mı içtin?	2	al	a	kırmızı	
Oradan al buraya koy anlayışıyla seçim hesabı yapmak Çayyolu'na hizmet değil zulüm getirir.	1	al	v	uzaklaştır, çıkar, getir	
Çarşıdan al bence hem daha kalitelisini bulursun.	1	al	v	bul, getir, satınal	
Al gitsin bedava veriyoruz.	0	al	v	götür, satınal	
Evrim, modern biyolojinin temel taşıdır.	1	modern	a	çağdaş	
Dünyadaki diğer tüm canlıların kökeni kendilerinden önce yaşamış türlere dayanır ve ayırdedilebilir farklılıklar, başarılı nesillerde meydana gelmiş genetik değişikliklerin bir sonucudur.	2	tüm	a	bütün	
Dünyadaki diğer tüm canlıların kökeni kendilerinden önce yaşamış türlere dayanır ve ayırdedilebilir farklılıklar, başarılı nesillerde meydana gelmiş genetik değişikliklerin bir sonucudur.	20	sonuç	v	neticesidir	punctuation'ın kelimeye dahil edilmesi??
Sizin aslında ulaşmaya çalıştığınız yer burası.	2	ulaş	v	erişmeye	
Bir sürü farklı şey daha deneyebilirsiniz. 	2	farklı	a	değişik	
Bir sürü farklı şey daha deneyebilirsiniz. 	1	sürü	n	çok	collocation'ları ayırmak ???
Dünkü kurultayda Kemal Kılıçdaroğlu’nun fiyakalı söylemlerden uzak, düz, yalın mesajlarla dolu konuşmasında bütün bunların açık ve net yanıtı yok mu?	8	yalın	a	sade	
Bunlardan evvel, Türkiyenin uluslararası hizmet ticaretindeki yerine ilişkin bilgi verilmekte ve sahip olduğu mukayeseli üstünlükler çerçevesinde potansiyel sektörleri tespit edilmektedir.	13	mukayeseli	a	karşılaştırmalı	
Gana'nın başkenti Accra'da, modern ve geleneksel Batı Afrika mimarisi çarpıcı bir tezat oluşturmaktadır.	11	tezat	n	zıtlık	
Bu çok basit bir iş, eminim hemen öğrenirsin.	2	basit	a	kolay	
Bir binanın hiçbir tesirle yıkılmasa yalnız irtifası yüzünden çökebileceği niçin hatırına gelmiyor?	6	irtifa	n	yüksekliği	
Kambur seni vurmadıysa kesin mühim bir nedeni vardır, bundandır.	4	mühim	a	önemli	
Karanlıkta duyduğumuz çam kokularına artık yakınlaştığımız denizin rutubeti karışıyordu.	7	rutubet	n	nemi	
Geniş, bomboş bir taşlığın serin, rutubetli küf kokusu duyuldu.	5	rutubetli	a	nemli	
Konuyla ilgisi olmayan açıklamalarla vaktimizi harcama!	1	ilgi	a	alakası	
Bu onun bileceği iş, ona söyleyecek birşeyim yok.	5	söyle	v	diyecek	
"Bir milletin kendi varlığını müdafaa etmesinden daha doğal ne olabilir?"""	7	doğal	a	tabii	
Hükümetin isyancıların taleplerine boyun eğmesi olası değil.	1	isyancı	n	başkaldırıcıların, ayaklanmacıların	
Arnavutluk isyanını bastırma harekatına katıldı.	1	isyan	n	ayaklanmasını, başkaldırısını	
Kendisi iradesi güçlü bir kadındır, kimsenin kendisine amirane davranmasına izin vermez.	1	irade	n	istenci	
yeşil alanların yönetiminde uzmanlaşmış ziraat makinalarının üretimi	4	ziraat 	n	tarım	ille cümle olsun derseniz yapalım ama bence gerek yok gibi
Üreticilerin %70,4'ü tarımsal ilaçların ürünlerde kalıntı bıraktığını bildirmiştir.	2	tarımsal	a	zirai	
Toprak dolgu barajların zemin etüdü için kullanılan çeşitli delme yöntemleri ile arazi ve laboratuvar deneyleri sunulmuştur.	4	etüd	n	tetkiki	
Akşamları etüd odasında geç saate kadar çalışan öğrenciler gündüzleri dersliklere yetişmekte zorlanıyor.	1	etüd	n	çalışma	
T.C. Anayasasına göre Cumhurbaşkanlığı seçimi her 5 yılda bir yapılır	7	yıl	n	senede	
Ancak uzun zamanlar çokluk olan ırkların arasına karıştıkları vakit -bazı yerlerde- o ırkların içinde adlarını sanlarını ve dillerini unutmuşlardır.	17	dil	n	lisanlarını	
"Amerikalı Türkolog, ""Dünya Tarihinde Türkler"" adlı eserinde bugünkü Anadolu Türklerini Orta Asya steplerinde başlayan ve Ankara'da son bulan bir otobüs yolculuğuna benzetir."	12	step	n	bozkırlarında	
